Filename,Start Time (s),End Time (s),Detected Feature
GE_F1-10ML.wav,12.225306122448979,12.225306122448979,Energy
GE_F1-10ML.wav,4451.265306122449,4453.099682539682,Envelope
GE_F1-10ML.wav,4469.3652607709755,4471.466666666666,Envelope
GE_F1-10ML.wav,4479.663310657596,4481.845986394558,Envelope
GE_F1-10ML.wav,4483.924172335601,4511.637188208617,Envelope
GE_F1-10ML.wav,4525.197641723356,4527.194557823129,Envelope
GE_F1-10ML.wav,4530.4337414965985,5890.786394557823,Envelope
GE_F1-10ML.wav,5939.6179591836735,5941.022766439909,Envelope
GE_F1-10ML.wav,5944.668299319728,5946.026666666667,Envelope
GE_F1-10ML.wav,5949.799909297052,5951.344036281179,Envelope
GE_F1-10ML.wav,6189.011882086168,6189.244081632653,Envelope
GE_F1-10ML.wav,6190.4399092970525,6191.41514739229,Envelope
GE_F1-10ML.wav,6192.854784580499,6193.110204081632,Envelope
GE_F1-10ML.wav,6194.131882086168,6196.082358276644,Envelope
GE_F1-10ML.wav,6197.684535147392,6201.550657596372,Envelope
GE_F1-10ML.wav,6209.956281179138,6216.655238095238,Envelope
GE_F1-10ML.wav,6219.360362811792,6225.084081632653,Envelope
GE_F1-10ML.wav,6227.940136054422,6228.892154195011,Envelope
GE_F1-10ML.wav,6234.975782312925,6237.831836734694,Envelope
GE_F1-10ML.wav,6239.9796825396825,6241.512199546485,Envelope
GE_F1-10ML.wav,6246.214240362812,6247.375238095238,Envelope
GE_F1-10ML.wav,6254.619863945578,6264.140045351474,Envelope
GE_F1-10ML.wav,6266.96126984127,6272.2554195011335,Envelope
GE_F1-10ML.wav,6279.813514739229,6288.462947845805,Envelope
GE_F1-10ML.wav,6293.559727891156,6296.787301587302,Envelope
GE_F1-10ML.wav,6299.109297052154,6302.928979591837,Envelope
GE_F1-10ML.wav,6305.216145124717,6310.069115646258,Envelope
GE_F1-10ML.wav,6316.280453514739,6323.548299319727,Envelope
GE_F1-10ML.wav,6326.845532879818,6329.597097505669,Envelope
GE_F1-10ML.wav,6406.931156462585,6412.770975056689,Envelope
GE_F1-10ML.wav,8.568163265306122,8.684263038548753,Spectral Flux
GE_F1-10ML.wav,8.811972789115647,11.493877551020407,Spectral Flux
GE_F1-10ML.wav,11.517097505668934,12.062766439909296,Spectral Flux
GE_F1-10ML.wav,12.097596371882085,12.213696145124716,Spectral Flux
GE_F1-10ML.wav,12.236916099773243,12.34140589569161,Spectral Flux
GE_F1-10ML.wav,12.364625850340136,12.503945578231292,Spectral Flux
GE_F1-10ML.wav,12.527165532879819,12.527165532879819,Spectral Flux
GE_F1_3ML.wav,7.314285714285714,7.314285714285714,Energy
GE_F1_3ML.wav,168.18213151927438,170.3415873015873,Envelope
GE_F1_3ML.wav,172.96544217687074,175.182947845805,Envelope
GE_F1_3ML.wav,183.73950113378686,185.34167800453514,Envelope
GE_F1_3ML.wav,186.24725623582768,187.00190476190477,Envelope
GE_F1_3ML.wav,3210.8785487528344,3754.3996371882085,Envelope
GE_F1_3ML.wav,3766.19537414966,3810.1043083900227,Envelope
GE_F1_3ML.wav,3853.815873015873,3855.2090702947844,Envelope
GE_F1_3ML.wav,3891.130340136054,3891.130340136054,Envelope
GE_F1_3ML.wav,0.34829931972789113,6.246167800453515,Spectral Flux
GE_F1_3ML.wav,6.2693877551020405,7.314285714285714,Spectral Flux
GE_F1_3ML.wav,7.337505668934241,7.441995464852607,Spectral Flux
GE_F1_3ML.wav,7.511655328798186,7.511655328798186,Spectral Flux
GE_F1_5ML.wav,5.270929705215419,6.524807256235827,Energy
GE_F1_5ML.wav,2707.0403628117915,2753.758911564626,Envelope
GE_F1_5ML.wav,2758.18231292517,2778.615873015873,Envelope
GE_F1_5ML.wav,3346.239274376417,3361.8779138321997,Envelope
GE_F1_5ML.wav,3363.282721088435,3363.282721088435,Envelope
GE_F1_5ML.wav,5.270929705215419,5.375419501133787,Spectral Flux
GE_F1_5ML.wav,5.410249433106576,6.513197278911565,Spectral Flux
GE_F1_5ML.wav,6.5364172335600905,6.5364172335600905,Spectral Flux
GE_M1-20ml.wav,10.65795918367347,10.785668934240363,Energy
GE_M1-20ml.wav,11.482267573696145,12.422675736961452,Energy
GE_M1-20ml.wav,13.246984126984128,13.246984126984128,Energy
GE_M1-20ml.wav,5243.367619047619,5455.272925170068,Envelope
GE_M1-20ml.wav,5460.149115646259,5467.823310657596,Envelope
GE_M1-20ml.wav,5471.166984126984,5472.780770975057,Envelope
GE_M1-20ml.wav,5480.675555555556,5488.7096598639455,Envelope
GE_M1-20ml.wav,5496.627664399093,5509.247709750567,Envelope
GE_M1-20ml.wav,5515.470657596372,5525.687437641724,Envelope
GE_M1-20ml.wav,5530.06439909297,5537.843083900227,Envelope
GE_M1-20ml.wav,5542.115555555555,5553.365623582767,Envelope
GE_M1-20ml.wav,5557.858684807256,5562.676825396826,Envelope
GE_M1-20ml.wav,5565.811519274376,5568.911383219955,Envelope
GE_M1-20ml.wav,5572.255056689342,5576.086349206349,Envelope
GE_M1-20ml.wav,5577.978775510204,5580.289160997732,Envelope
GE_M1-20ml.wav,5866.9395011337865,5873.963537414966,Envelope
GE_M1-20ml.wav,5874.230566893424,5875.879183673469,Envelope
GE_M1-20ml.wav,5877.516190476191,5879.0370975056685,Envelope
GE_M1-20ml.wav,5880.29097505669,5881.602902494331,Envelope
GE_M1-20ml.wav,5882.891609977324,5884.13387755102,Envelope
GE_M1-20ml.wav,5884.691156462585,5884.923356009071,Envelope
GE_M1-20ml.wav,5886.014693877551,5889.265487528344,Envelope
GE_M1-20ml.wav,5890.113015873016,5891.215963718821,Envelope
GE_M1-20ml.wav,5891.668752834467,5892.3305215419505,Envelope
GE_M1-20ml.wav,5893.4682993197275,5895.395555555556,Envelope
GE_M1-20ml.wav,5898.6927891156465,5903.058140589569,Envelope
GE_M1-20ml.wav,5903.545759637188,5904.37006802721,Envelope
GE_M1-20ml.wav,5911.486984126984,5913.739319727892,Envelope
GE_M1-20ml.wav,5923.53814058957,5931.46775510204,Envelope
GE_M1-20ml.wav,5933.522721088435,6348.521360544218,Envelope
GE_M1-20ml.wav,6350.808526077098,6365.529977324263,Envelope
GE_M1-20ml.wav,6368.432471655329,6372.681723356009,Envelope
GE_M1-20ml.wav,6383.606712018141,6388.807981859411,Envelope
GE_M1-20ml.wav,6391.455056689342,6772.215873015873,Envelope
GE_M1-20ml.wav,6773.609070294785,6775.571156462585,Envelope
GE_M1-20ml.wav,6778.821950113379,6781.260045351474,Envelope
GE_M1-20ml.wav,6786.705124716554,6786.99537414966,Envelope
GE_M1-20ml.wav,6787.575873015873,6787.819682539683,Envelope
GE_M1-20ml.wav,6788.075102040816,6791.581315192744,Envelope
GE_M1-20ml.wav,6793.53179138322,6793.705941043084,Envelope
GE_M1-20ml.wav,6797.328253968254,6797.606893424037,Envelope
GE_M1-20ml.wav,6797.827482993197,6798.431201814059,Envelope
GE_M1-20ml.wav,6798.698231292517,6801.693605442177,Envelope
GE_M1-20ml.wav,6804.003990929706,6806.407256235828,Envelope
GE_M1-20ml.wav,6812.398004535147,6814.650340136054,Envelope
GE_M1-20ml.wav,6814.812879818594,6816.496326530612,Envelope
GE_M1-20ml.wav,6819.317551020408,6819.53814058957,Envelope
GE_M1-20ml.wav,6820.5830385487525,6839.484081632653,Envelope
GE_M1-20ml.wav,10.216780045351474,10.646349206349207,Spectral Flux
GE_M1-20ml.wav,10.692789115646258,10.80888888888889,Spectral Flux
GE_M1-20ml.wav,10.832108843537416,11.470657596371883,Spectral Flux
