audio_file,segment_type,frequency_hz,spl_db,detected_swallows,expected_swallows,group,volume_ml
GC-F10-10ml.wav,pre_swallow,1335.058594,-19.99602424,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1345.825195,-19.9313584,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1356.591797,-22.9879759,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1367.358398,-24.39314444,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1378.125,-22.15857956,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1388.891602,-22.41255609,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1399.658203,-21.57354536,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1410.424805,-24.15851627,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1421.191406,-23.5152742,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1431.958008,-23.15488922,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1442.724609,-24.60081316,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1453.491211,-25.91016089,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1464.257813,-24.48142487,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1475.024414,-24.10794113,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1485.791016,-22.44691869,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1496.557617,-22.36451705,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1507.324219,-22.48105441,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1518.09082,-25.45779907,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1528.857422,-25.95666826,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1539.624023,-25.71101039,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1550.390625,-24.05219174,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1561.157227,-21.265507,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1571.923828,-21.04565353,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1582.69043,-22.86633879,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1593.457031,-24.30939226,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1604.223633,-23.70985267,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1614.990234,-24.33901448,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1625.756836,-23.99208997,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1636.523438,-24.26424112,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1647.290039,-21.78345531,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1658.056641,-23.93191686,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1668.823242,-24.73256085,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1679.589844,-26.73726323,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1690.356445,-28.51767035,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1701.123047,-26.9306103,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1711.889648,-24.53410853,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1722.65625,-24.34661253,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1733.422852,-25.13893286,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1744.189453,-26.32692476,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1754.956055,-23.60984518,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1765.722656,-23.99879571,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1776.489258,-24.25745711,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1787.255859,-23.98164486,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1798.022461,-26.49463515,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1808.789063,-26.83379585,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1819.555664,-25.63507667,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1830.322266,-27.28075248,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1841.088867,-27.91357054,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1851.855469,-28.31592098,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1862.62207,-28.35550572,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1873.388672,-26.69669164,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1884.155273,-27.65840688,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1894.921875,-30.45398177,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1905.688477,-31.77347959,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1916.455078,-34.32010669,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1927.22168,-38.02515898,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1937.988281,-44.51720605,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1948.754883,-51.13838874,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1959.521484,-60.58644752,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1970.288086,-68.07676428,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1981.054688,-78.28719797,2,2,Control,10
GC-F10-10ml.wav,pre_swallow,1991.821289,-83.23087342,2,2,Control,10
GC-F10-10ml.wav,post_swallow,21.53320313,33.78123515493441,2,2,Control,10
GC-F10-10ml.wav,post_swallow,32.29980469,41.48180913,2,2,Control,10
GC-F10-10ml.wav,post_swallow,43.06640625,41.912780712596486,2,2,Control,10
GC-F10-10ml.wav,post_swallow,53.83300781,39.48905870430664,2,2,Control,10
GC-F10-10ml.wav,post_swallow,64.59960938,37.257351673880116,2,2,Control,10
GC-F10-10ml.wav,post_swallow,75.36621094,30.28219486290036,2,2,Control,10
GC-F10-10ml.wav,post_swallow,86.1328125,24.947073173056747,2,2,Control,10
GC-F10-10ml.wav,post_swallow,96.89941406,22.958462899445525,2,2,Control,10
GC-F10-10ml.wav,post_swallow,107.6660156,23.44573699652356,2,2,Control,10
GC-F10-10ml.wav,post_swallow,118.4326172,22.18913995189254,2,2,Control,10
GC-F10-10ml.wav,post_swallow,129.1992188,19.604139265939537,2,2,Control,10
GC-F10-10ml.wav,post_swallow,139.9658203,20.33939263170389,2,2,Control,10
GC-F10-10ml.wav,post_swallow,150.7324219,21.782773475199058,2,2,Control,10
GC-F10-10ml.wav,post_swallow,161.4990234,21.469400859644644,2,2,Control,10
GC-F10-10ml.wav,post_swallow,172.265625,19.08546501564976,2,2,Control,10
GC-F10-10ml.wav,post_swallow,183.0322266,22.59599292,2,2,Control,10
GC-F10-10ml.wav,post_swallow,193.7988281,26.064373521018446,2,2,Control,10
GC-F10-10ml.wav,post_swallow,204.5654297,23.684231877797433,2,2,Control,10
GC-F10-10ml.wav,post_swallow,215.3320313,23.14622723529354,2,2,Control,10
GC-F10-10ml.wav,post_swallow,226.0986328,24.48985073824789,2,2,Control,10
GC-F10-10ml.wav,post_swallow,236.8652344,22.40388472119649,2,2,Control,10
GC-F10-10ml.wav,post_swallow,247.6318359,18.756817884677236,2,2,Control,10
GC-F10-10ml.wav,post_swallow,258.3984375,21.448149220616493,2,2,Control,10
GC-F10-10ml.wav,post_swallow,269.1650391,24.460377914231177,2,2,Control,10
GC-F10-10ml.wav,post_swallow,279.9316406,24.462874878805767,2,2,Control,10
GC-F10-10ml.wav,post_swallow,290.6982422,22.54167483654075,2,2,Control,10
GC-F10-10ml.wav,post_swallow,301.4648438,20.236726796334654,2,2,Control,10
GC-F10-10ml.wav,post_swallow,312.2314453,19.739086064432062,2,2,Control,10
GC-F10-10ml.wav,post_swallow,322.9980469,19.555901099779653,2,2,Control,10
GC-F10-10ml.wav,post_swallow,333.7646484,18.379849321213808,2,2,Control,10
GC-F10-10ml.wav,post_swallow,344.53125,17.05371523335072,2,2,Control,10
GC-F10-10ml.wav,post_swallow,355.2978516,11.65398789819424,2,2,Control,10
GC-F10-10ml.wav,post_swallow,366.0644531,12.97133208478903,2,2,Control,10
GC-F10-10ml.wav,post_swallow,376.8310547,14.254895450688032,2,2,Control,10
GC-F10-10ml.wav,post_swallow,387.5976563,10.684464335230935,2,2,Control,10
GC-F10-10ml.wav,post_swallow,398.3642578,7.191588507,2,2,Control,10
GC-F10-10ml.wav,post_swallow,409.1308594,5.6207676220295895,2,2,Control,10
GC-F10-10ml.wav,post_swallow,419.8974609,6.337720949092407,2,2,Control,10
GC-F10-10ml.wav,post_swallow,430.6640625,7.697271151265092,2,2,Control,10
GC-F10-10ml.wav,post_swallow,441.4306641,6.545973498644639,2,2,Control,10
GC-F10-10ml.wav,post_swallow,452.1972656,5.152408173132747,2,2,Control,10
GC-F10-10ml.wav,post_swallow,462.9638672,5.5419788383669655,2,2,Control,10
GC-F10-10ml.wav,post_swallow,473.7304688,1.8336051016869372,2,2,Control,10
GC-F10-10ml.wav,post_swallow,484.4970703,4.523078982,2,2,Control,10
GC-F10-10ml.wav,post_swallow,495.2636719,7.524767786393945,2,2,Control,10
GC-F10-10ml.wav,post_swallow,506.0302734,8.069724849399973,2,2,Control,10
GC-F10-10ml.wav,post_swallow,516.796875,4.657852383058908,2,2,Control,10
GC-F10-10ml.wav,post_swallow,527.5634766,5.823943280963103,2,2,Control,10
GC-F10-10ml.wav,post_swallow,538.3300781,9.469347142093508,2,2,Control,10
GC-F10-10ml.wav,post_swallow,549.0966797,7.2137747666003795,2,2,Control,10
GC-F10-10ml.wav,post_swallow,559.8632813,6.616366922744371,2,2,Control,10
GC-F10-10ml.wav,post_swallow,570.6298828,6.713634237498737,2,2,Control,10
GC-F10-10ml.wav,post_swallow,581.3964844,7.393881451881809,2,2,Control,10
GC-F10-10ml.wav,post_swallow,592.1630859,7.944303019754203,2,2,Control,10
GC-F10-10ml.wav,post_swallow,602.9296875,12.909811362999793,2,2,Control,10
GC-F10-10ml.wav,post_swallow,613.6962891,16.244654519197127,2,2,Control,10
GC-F10-10ml.wav,post_swallow,624.4628906,10.976443670760023,2,2,Control,10
GC-F10-10ml.wav,post_swallow,635.2294922,2.7662628248430865,2,2,Control,10
GC-F10-10ml.wav,post_swallow,645.9960938,3.5968465656094284,2,2,Control,10
GC-F10-10ml.wav,post_swallow,656.7626953,9.446053925224344,2,2,Control,10
GC-F10-10ml.wav,post_swallow,667.5292969,8.685677252322385,2,2,Control,10
GC-F10-10ml.wav,post_swallow,678.2958984,4.674584044,2,2,Control,10
GC-F10-10ml.wav,post_swallow,689.0625,3.7396439259396246,2,2,Control,10
GC-F10-10ml.wav,post_swallow,699.8291016,6.434019740302059,2,2,Control,10
GC-F10-10ml.wav,post_swallow,710.5957031,3.4762854139488124,2,2,Control,10
GC-F10-10ml.wav,post_swallow,721.3623047,7.481584127718326,2,2,Control,10
GC-F10-10ml.wav,post_swallow,732.1289063,9.939734376385115,2,2,Control,10
GC-F10-10ml.wav,post_swallow,742.8955078,9.719454067132752,2,2,Control,10
GC-F10-10ml.wav,post_swallow,753.6621094,5.162222566943927,2,2,Control,10
GC-F10-10ml.wav,post_swallow,764.4287109,7.293529568042397,2,2,Control,10
GC-F10-10ml.wav,post_swallow,775.1953125,4.877005143440412,2,2,Control,10
GC-F10-10ml.wav,post_swallow,785.9619141,-7.078324438,2,2,Control,10
GC-F10-10ml.wav,post_swallow,796.7285156,-4.296871618,2,2,Control,10
GC-F10-10ml.wav,post_swallow,807.4951172,-3.186446244,2,2,Control,10
GC-F10-10ml.wav,post_swallow,818.2617188,-2.104746834,2,2,Control,10
GC-F10-10ml.wav,post_swallow,829.0283203,-2.110418601,2,2,Control,10
GC-F10-10ml.wav,post_swallow,839.7949219,-2.421567825,2,2,Control,10
GC-F10-10ml.wav,post_swallow,850.5615234,-7.417300604,2,2,Control,10
GC-F10-10ml.wav,post_swallow,861.328125,-16.03636289,2,2,Control,10
GC-F10-10ml.wav,post_swallow,872.0947266,-12.98929697,2,2,Control,10
GC-F10-10ml.wav,post_swallow,882.8613281,-14.42097665,2,2,Control,10
GC-F10-10ml.wav,post_swallow,893.6279297,-13.48521669,2,2,Control,10
GC-F10-10ml.wav,post_swallow,904.3945313,-14.42732507,2,2,Control,10
GC-F10-10ml.wav,post_swallow,915.1611328,-19.64781883,2,2,Control,10
GC-F10-10ml.wav,post_swallow,925.9277344,-19.01687125,2,2,Control,10
GC-F10-10ml.wav,post_swallow,936.6943359,-19.97260929,2,2,Control,10
GC-F10-10ml.wav,post_swallow,947.4609375,-21.92840659,2,2,Control,10
GC-F10-10ml.wav,post_swallow,958.2275391,-23.07032119,2,2,Control,10
GC-F10-10ml.wav,post_swallow,968.9941406,-22.69962199,2,2,Control,10
GC-F10-10ml.wav,post_swallow,979.7607422,-23.95169758,2,2,Control,10
GC-F10-10ml.wav,post_swallow,990.5273438,-22.25923823,2,2,Control,10
GC-F10-10ml.wav,post_swallow,1001.293945,-22.01628545,2,2,Control,10
GC-F10-10ml.wav,post_swallow,1012.060547,-20.76315564,2,2,Control,10
GC-F10-10ml.wav,post_swallow,1022.827148,-20.94895647,2,2,Control,10
GC-F10-10ml.wav,post_swallow,1033.59375,-22.86645684,2,2,Control,10
GC-F10-10ml.wav,post_swallow,1044.360352,-23.06081981,2,2,Control,10
GC-F10-10ml.wav,post_swallow,1055.126953,-22.34843472,2,2,Control,10
GC-F10-10ml.wav,post_swallow,1065.893555,-21.58492081,2,2,Control,10
GC-F10-10ml.wav,post_swallow,1076.660156,-23.79363267,2,2,Control,10
GC-F10-10ml.wav,post_swallow,1087.426758,-21.28461628,2,2,Control,10
GC-F10-10ml.wav,post_swallow,1098.193359,-22.81541732,2,2,Control,10
GC-F10-10ml.wav,post_swallow,1108.959961,-23.94406633,2,2,Control,10
GC-F10-10ml.wav,post_swallow,1119.726563,-20.89900553,2,2,Control,10
GC-F10-10ml.wav,post_swallow,1130.493164,-21.89467166,2,2,Control,10
